	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
Helcococcus	0.0	0.0	0.0	0.0	0.0	0.0	5.7514085467261204e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51375636079285e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62882058738602e-07	0.0
Helicobacter	0.000980388384855908	0.00114361518177841	0.000292533295033332	0.00071485464387767	0.000765385579584287	0.00218232251846798	0.0012421412817892302	0.00440268164324477	0.000753060376936316	0.000305941296288129	0.000128437842411966	0.00245331134292446	0.000156606716930343	0.00126481470548998	0.000620402039480107	6.76861367221361e-05	0.000530142194182574	0.0006414905293807981	9.941163457696609e-05	0.000325174273083046	0.00131313490364218	0.000858585062750288	0.0012077871896678301	0.0013593015697862302	0.00021563287131124199	0.00127168537130357	8.441457841033679e-05	0.000196170476627126	0.000651843302136743	0.000347078423274401	0.00204031210046648	0.000380796841149384	0.000649468034767124	3.00397137497862e-05	0.00166629880040999	0.0029589113621775803	0.00046614372110298204	0.00140060140583533	0.000777640643038107	0.00279379479339203	0.0010984671368944301
Heliobacterium	0.0	0.0	0.0	0.0	1.8400845887011198e-07	0.0	1.6630487229003598e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04742479164369e-07	0.0	1.16380702181184e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96006936168662e-07	0.0	0.0
Herbinix	1.7296927769983998e-06	9.17202924931407e-07	6.44260899954799e-07	2.72574318533054e-06	1.43929847665017e-06	2.33444916383368e-06	1.01098540792831e-06	2.58836018030723e-06	1.25015708159299e-06	1.80357686303232e-06	9.771952064125441e-07	1.03153726647549e-06	1.08323036784068e-06	1.45742018276257e-06	2.4408539051832198e-06	1.5317296135416802e-07	6.29809940674275e-07	3.20619578821023e-07	6.88227344563055e-07	4.3256620692646597e-07	3.67561724105195e-06	1.80761632368378e-06	5.12940499346225e-07	8.747890786038142e-07	6.21570184676718e-07	1.36050360581079e-06	1.20908165561138e-06	1.49135488998603e-06	3.47007623973992e-06	2.4914708794683996e-06	9.88154376693016e-07	8.76062174409058e-07	1.0489923382797e-06	2.66148190839585e-06	1.7746774791539502e-06	1.00731482909433e-06	1.22550603387246e-06	1.19165054421986e-06	1.62966144025833e-06	4.6236183210298004e-07	1.293958352106e-06
Hespellia	6.78523764735443e-06	9.041150091522639e-06	5.50456690641974e-06	1.84661272281098e-05	1.13222024694411e-05	1.05638182601511e-05	2.5383445752689602e-05	2.5487467964646802e-05	1.4122203708093899e-05	1.42105898528056e-05	1.2552698263408e-05	1.2688475678108301e-05	6.71552298101796e-06	3.0478501921030798e-05	1.05119708942125e-05	8.09899330281843e-06	6.79551933042107e-06	1.09905554700633e-05	8.44610921365247e-06	8.79411262958266e-06	5.78338290493057e-06	1.4134836523262198e-05	1.18775820816874e-05	1.4113125508163199e-05	1.35424148595194e-05	3.32291963209731e-05	1.83271028092091e-05	7.2655594030184905e-06	9.60445939095983e-06	1.9819296770398997e-05	1.53891517558104e-05	1.7792797639300697e-05	1.7226288491598497e-05	2.7501653213925e-05	2.8400204103013203e-05	1.75155657167233e-05	7.47901828779344e-06	1.3487742903706402e-05	2.09589441353552e-05	1.54256607919927e-05	1.35669262325081e-05
Histophilus	4.64566752716889e-07	0.0	0.0	5.83881495360658e-07	2.04991879618458e-06	0.0	0.0	0.0	0.0	1.8356775201005899e-07	0.0	0.0	0.0	0.0	0.0	2.58347083529819e-07	0.0	0.0	2.15906806104742e-07	1.16686796963815e-06	0.0	0.0	0.0	0.0	0.0	5.74459499675614e-07	0.0	1.35170287045309e-06	0.0	0.0	1.92871527788634e-06	0.0	2.06455612983343e-07	2.84628959036519e-07	0.0	5.144858988664411e-07	3.8702569715770896e-07	0.0	0.0	0.0	0.0
Holdemanella	6.74237063806229e-06	2.59383823444779e-06	3.09553140080719e-06	2.62403800300647e-06	1.46021452686917e-06	2.4940813413688498e-06	4.30150344698936e-06	4.2329990508088696e-06	9.77339037908203e-06	4.07293339057377e-06	1.4723369880409202e-06	2.46427569717063e-06	4.31043719184851e-06	2.78630558985766e-06	2.2047839226937e-06	3.80687636274591e-06	1.0756398049924699e-06	2.0506623556336497e-06	2.38566858306907e-06	4.96349867461224e-06	1.4842137155843399e-06	2.7100928006034197e-06	9.252322167920509e-07	2.7958068868561e-06	4.16895651981241e-06	7.962386488520711e-06	1.5083440115696899e-05	1.7993546057831902e-06	1.76175084216736e-06	1.15854666533316e-05	8.707587421222929e-07	5.43022972491374e-06	6.10980018474476e-06	2.01152597987442e-06	1.6512640017488501e-06	3.72848554158219e-06	1.9372550394380403e-06	1.39462031146623e-06	3.0134536412900502e-06	3.95193657092941e-06	3.18920586088324e-06
Holdemania	0.00020774178643156202	3.5903269211033096e-05	2.27027589131355e-05	0.000686776742940066	0.00059950087461886	0.000689916479299798	5.9187551640123596e-05	2.9014353027148103e-05	0.000115814455472071	3.1892832045106e-05	3.24949560667568e-05	1.9962442018218803e-05	1.45845082868023e-05	0.000203378968732255	4.06264345383586e-05	0.000291791581155335	3.68212845141599e-05	9.34999091485287e-05	0.000196902913787047	0.000868819290167289	0.000181828057911081	3.29859436033102e-05	0.000581535995058487	4.23153253197135e-05	0.0013403033117886198	0.0012694633915452099	0.000101208689505641	2.70686200443925e-05	2.2802655799614398e-05	7.25461079142522e-05	2.1624537495607103e-05	5.69797015468348e-05	0.00161033596143773	5.6943901792575706e-05	2.9879476564695e-05	5.14666042861315e-05	6.14537424782287e-05	3.25584749900817e-05	0.000505977579596579	0.000357515975452885	0.00177743381737381
Hungatella	0.00022669855035296698	0.000180076822390556	0.000158072665757153	0.000579112040029625	0.00010330604117419799	0.000162359740501364	0.000213281454925976	0.000341741726004272	0.000104149600925599	0.000203567800406957	4.9065682690571506e-05	0.000167453223605818	0.000149886597230933	9.88766563587154e-05	9.17355785620874e-05	4.53656294873682e-05	9.596207189286899e-05	0.000108769649651276	0.000256107859771688	0.000135115582899398	0.000111632004687472	0.000214537263001568	0.000109365543126377	0.00016279002861575802	0.00011117807181134399	0.00014199653929218898	0.000127146005125687	9.30327895124723e-05	0.000151087297704545	0.000321092739213395	0.00014936352639531	0.00017406686475734	0.000297100017046921	0.0006255550034081629	0.00026468886996792995	0.000275082739150831	6.29308176741064e-05	0.000137540852437502	0.00026258067491683997	0.000252023925546452	0.000186110559574596
Hydrogenoanaerobacterium	8.614559783486889e-06	3.70484321448945e-06	2.54999722382286e-06	5.13457663267667e-06	1.12507559343625e-05	4.89111366337582e-06	6.5580529535100306e-06	5.65450077057644e-06	8.01272129441194e-06	3.01644897832565e-06	1.3497798160426401e-05	3.10047367045934e-06	4.3620446165192e-06	8.56488346180973e-06	9.99500116379135e-06	3.70101719369759e-06	2.86501664345592e-06	1.0041673215982199e-05	1.88906152433046e-06	2.72724873413665e-06	6.7953951964307604e-06	2.03369344376562e-06	7.09500611727608e-06	3.42873891084006e-06	1.0261514502929302e-05	4.9690156122832195e-06	7.2274498358511505e-06	3.44388032671111e-05	6.3409721842789e-06	3.93224184767494e-06	3.06881044395902e-06	3.55715776165784e-06	2.5685520402185298e-06	4.5524257012827e-06	1.2162197054844801e-05	4.831896556654199e-07	4.664562144191299e-06	1.62726255475692e-06	6.92416054271537e-06	3.04663032481698e-06	9.1525756698386e-06
