GeneID	AS	Gout	OB	RA	T2D
10001138	1	1	1	1	1
1000114	1	1	0	0	0
10001141	0	0	0	1	0
10001143	0	1	1	0	0
10001146	0	0	1	1	1
10001162	1	0	1	1	1
10001165	0	0	0	1	0
1000117	0	0	0	1	0
10001176	0	0	1	1	0
10001180	0	0	0	1	0
10001195	1	0	1	1	1
10001197	1	1	0	0	1
1000120	1	1	1	1	1
1000121	0	1	0	0	0
10001215	1	1	1	1	1
10001219	1	0	1	1	1
10001221	1	1	1	1	1
1000123	0	1	0	0	0
10001237	0	0	1	1	0
1000124	1	1	1	1	1
10001245	1	1	1	1	1
10001249	0	0	0	1	0
10001250	1	1	1	1	1
10001254	1	0	1	1	1
10001259	1	0	0	1	0
10001268	0	0	0	1	0
1000127	0	0	0	1	0
10001276	0	0	0	0	1
10001293	1	1	1	1	1
10001308	0	1	1	0	1
10001323	1	1	1	1	1
10001331	0	1	0	0	0
1000134	1	0	0	1	1
10001343	1	1	1	1	1
10001351	1	1	1	1	1
10001356	0	0	0	1	0
1000137	1	0	1	1	1
10001375	1	0	1	1	1
10001377	1	1	1	1	1
1000139	0	0	0	1	0
10001395	0	0	1	1	0
10001401	0	0	0	1	0
10001406	0	0	1	1	1
10001408	0	0	0	1	0
1000141	0	0	0	1	0
10001411	0	0	0	1	0
10001415	1	0	1	1	1
10001418	0	0	0	1	0
10001419	1	1	1	1	1
10001423	0	0	1	1	0
10001424	1	1	1	1	1
10001426	0	0	0	1	0
1000145	1	0	1	1	1
1000146	1	0	1	1	1
1000147	1	0	1	1	1
1000148	1	1	1	1	1
10001486	1	1	1	1	1
10001487	1	1	1	1	1
1000149	1	1	1	1	1
10001491	0	0	0	1	0
1000150	1	1	1	1	1
10001511	0	0	0	1	0
1000154	1	0	1	0	1
10001542	0	0	1	0	0
10001547	0	0	1	0	0
10001552	0	1	0	0	0
1000156	0	0	1	0	1
10001562	0	0	1	1	1
10001564	0	0	0	1	0
10001567	0	1	0	0	0
10001587	1	0	1	1	0
1000159	1	1	1	0	1
10001590	0	0	0	1	0
10001594	1	0	1	1	1
10001598	1	0	1	1	1
1000160	0	0	0	1	0
10001600	0	1	1	1	1
10001604	0	0	0	1	0
10001607	0	0	0	1	0
10001624	0	0	0	1	0
10001628	0	0	0	1	0
10001638	0	0	1	1	1
1000164	0	0	0	1	0
10001640	0	0	0	1	0
10001643	0	1	1	1	0
10001647	1	1	1	1	1
10001650	0	0	0	1	0
10001686	0	0	1	1	0
10001692	0	0	0	1	0
10001695	0	0	0	1	0
10001703	1	0	1	1	1
1000171	1	1	1	1	1
10001713	1	0	1	1	1
10001716	1	1	1	1	1
10001720	0	0	0	0	1
10001721	1	1	1	1	1
10001722	1	1	0	0	1
1000173	1	0	0	1	0
10001736	0	0	0	1	0
10001737	1	0	1	1	1
10001738	0	0	1	1	0
10001741	1	0	1	1	1
10001745	1	1	1	1	1
10001746	0	0	1	1	0
1000175	0	0	0	1	0
10001750	0	0	0	1	0
10001756	1	1	1	1	1
1000176	1	0	0	1	1
10001765	0	0	0	1	0
10001766	0	0	0	1	0
10001772	1	0	1	1	1
10001778	0	0	0	1	0
10001780	0	0	0	1	0
10001785	0	0	0	1	0
10001796	1	1	1	1	1
10001797	1	0	1	1	1
1000180	0	1	0	0	0
1000181	0	1	0	0	0
10001817	1	1	1	1	1
10001819	1	1	1	1	1
10001821	1	1	1	1	1
1000183	1	1	1	1	1
10001832	1	1	1	1	1
1000184	1	1	0	0	0
10001855	0	0	1	1	0
10001885	0	0	0	1	0
1000189	0	0	0	1	0
1000190	0	1	1	1	0
1000191	1	1	1	1	1
1000192	1	1	1	1	1
10001920	1	0	1	1	1
1000193	1	1	1	1	1
10001937	1	0	1	1	0
10001940	0	1	1	1	1
10001945	0	1	0	1	1
10001948	1	1	1	1	1
10001954	1	1	1	1	1
10001958	1	1	1	1	1
10001961	1	1	1	1	1
10001985	1	1	1	1	1
10001997	1	0	1	1	1
10001999	1	1	1	1	1
10002	1	1	1	1	1
10002002	1	1	1	1	1
10002005	1	1	1	1	1
10002013	1	1	1	1	1
10002020	0	0	0	1	0
10002027	1	1	1	1	1
10002029	1	0	1	1	1
1000203	1	1	1	1	1
10002031	0	0	1	1	0
10002034	1	1	1	1	1
10002043	0	0	1	1	0
10002045	1	1	1	1	1
10002047	1	1	1	1	1
1000205	0	1	1	1	1
